Date,Text
"1961","Feb 7, Immanuel Olsvanger , Polish-born Jewish folklorist, died in Israel. Apr 11, Israel began the trial of Adolf Eichmann in Jerusalem. He was accused of World War II war crimes. Jul 31, Israel welcomed its 1,000,000th immigrant. Dec 9, SS Col. Adolf Eichmann was found guilty of war crimes in Israel. Dec 15, Adolf Eichmann, the former German Gestapo official accused of a major role in the Nazi murder of 6 million Jews, was sentenced by a Jerusalem court to be hanged. Adolf Eichmann was the administrator of the so-called Final Solution and supervised the transportation of prisoners to concentration camps. Raul Hilberg , American historian, authored “The Destruction of the European Jews."" It is largely held to be the first comprehensive historical study of the Holocaust. Israel’s secret service, Mossad, sent a parcel bomb to Alois Brunner , a fugitive Nazi. It cost him an eye. Another parcel bomb in July, 1980, took four fingers. He was last seen alive by reliable witnesses in 1992, and by journalists in 1996.Feb 7, Immanuel Olsvanger , Polish-born Jewish folklorist, died in Israel. Apr 11, Israel began the trial of Adolf Eichmann in Jerusalem. He was accused of World War II war crimes. Jul 31, Israel welcomed its 1,000,000th immigrant. Dec 9, SS Col. Adolf Eichmann was found guilty of war crimes in Israel. Dec 15, Adolf Eichmann, the former German Gestapo official accused of a major role in the Nazi murder of 6 million Jews, was sentenced by a Jerusalem court to be hanged. Adolf Eichmann was the administrator of the so-called Final Solution and supervised the transportation of prisoners to concentration camps. Raul Hilberg , American historian, authored “The Destruction of the European Jews."" It is largely held to be the first comprehensive historical study of the Holocaust. Israel’s secret service, Mossad, sent a parcel bomb to Alois Brunner , a fugitive Nazi. It cost him an eye. Another parcel bomb in July, 1980, took four fingers. He was last seen alive by reliable witnesses in 1992, and by journalists in 1996."
"1961","Mar 7, Max Hymans , WW II resistance fighter, head of Air France, died. Apr 21, The French army revolted in Algeria. Apr 22, An uprising of French parachutists was led by Gen. Salan/Challe in Algeria. Apr 25, France exposed soldiers to a nuclear test, code-named ""Gerboise verte"" or green gerboa, in the Sahara Desert. In 2010 a French news report, citing a classified defense document, said the exposure was intentional to study how the atomic bomb would affect their bodies and minds. In total, France conducted 210 nuclear tests, both in the atmosphere and underground, in the Sahara Desert and the South Pacific from 1960-1996.Apr 26, French paratroopers' revolt was suppressed in Algeria. Jun 17, Soviet ballet star Rudolf Nureyev  defected from the Soviet Union at the Paris Le Bourget airport while traveling with the Leningrad Kirov Ballet. In 1998 Diane Solway covered this event in her biography: ""Nureyev.""Jul 1, Louis-Ferdinand Celine , French physician, author, anti-Semite, died. His books included “Journey to the End of Night” .Jul, A French law guaranteed populations in France's overseas territories free exercise of their religion and respect for their beliefs and customs as long as they are not contrary to general principles of law. Oct 17, Paris police beat and killed dozens of Algerian demonstrators and threw some bodies into the Seine. The police were commanded by Maurice Papon. Papon said some 30 bodies had been recovered from the Seine but that they had been killed in fighting between rival Algerian nationalist groups. In 1999 France agreed to open its archives on the issue. Police killed 210 Algerians who were protesting against police oppression and the curfew imposed against their community in Paris. On Oct 17, 2011, Algeria's post office issued a new stamp to commemorate the massacre. Andre Malreaux, minister of cultural affairs under Pres. de Gaulle, initiated the clean-up of Paris. In France the Boisset Family Estates was founded in Burgundy. By 2012 the company controlled over 20 wineries in the US, Canada and Europe."
"1961","Mar 9, A mine cave-in in Japan killed 72. The film ""Yojimbo"" starred Toshiro Mifune and was directed by Akira Kurosawa. The US Western film ""For a Few Dollars More"" by Sergio Leone in 1964 was a remake of ""Yojimbo.""Japan established a universal health care system called kaihoken. Merrill Lynch Securities under Michael McCarthy  was the first American firm to establish a securities office in Tokyo."
"1962","Algeria gains independence from France. "
"1962","Aug 17, East German border guards shot and mortally wounded 18-year-old Peter Fechter, who had attempted to cross over the Berlin Wall into the western sector. Dec 26, Eight East Berliners escaped to West Berlin, crashing through gates in an armor plated bus. West German defense minister Franz Joseph Strauss tried to intimidate the Der Spiegel magazine for its unflaterring coverage of the army. Strauss was soon forced to sterpdown under public protest as the highest court backed a free media. Wolfgang Vogel, East Berlin lawyer and confidant to Erich Honnecker, secured the release of US pilot Gary Powers  in exchange for Soviet spy Rudolf Abel. During his 30-year career he secured the release of more than 100 agents and helped shepherd nearly 34,000 political prisoners and 215,000 East Germans to freedom in the West. Powers, was returned to the West across the Glienicker Bridge in Potsdam, Germany, after being held for 21 months. Aribert Heim  was charged by German authorities with killing hundreds of concentration inmates in Germany and Austria with lethal injections. He is thought to have evaded capture in Germany, Argentina, Denmark, Brazil and Spain. During WW II Heim earned the nickname of ""Dr. Death"" for experimenting on inmates at the Buchenwald and Mauthausen camps. In 1979 Heim was indicted in Germany in absentia on hundreds of counts of murder. In 2005 he was tracked to Spain. In 2009 new information indicated that he had died in Egypt in 1992."
"1962","Jan 16, R. H. Tawney , English economic historian, died. His books include “Equality” . It was here that he wrote “Freedom for the pike is death to the minnows.”Jan 23, British spy Kim Philby defected to USSR. Mar 1, US-British nuclear test experiment took place in Nevada. Mar 1, Uganda became a self-governing country. [see Oct 9]Mar 3, British Antarctic Territory was formed. May 8, London trolley buses went out of service. Jun 2, Vita Sackville-West , English poet, novelist and gardener, died. She helped create her own gardens in Sissinghurst, Kent. She was famous for her exuberant aristocratic life, her strong marriage, and her passionate affairs with women like novelist Virginia Woolf. Her son Nigel gave her estate to the National Trust, a conservation charity. In 2008 Adam Nicolson authored “Sissinghurst: An Unfinished History.”Jul 12, Mick Jagger , Keith Richards  and Brian Jones  played The Marquee Club with three others, the first time they performed under the Rolling Stones band name which later became synonymous worldwide with excess and musical flair. Jul 21, George Macaulay Trevelyan , British historian, died in Cambridge. Many of his writings promoted the Whig Party, an important aspect of British politics from the 17th century to the mid-19th century, and its successor, the Liberal Party. Aug 6, Jamaica became an independent dominion within the British Commonwealth. Aug 16, The Beatles dropped Pete Best as their drummer. They took on Ringo Starr on Aug 17. Best later authored the autobiography ""Beatle! The Pete Best Story.""Aug 17, Beatles replaced Pete Best with Ringo Starr. Sep 11, The Beatles recorded their first single for EMI, ""Love Me Do"" and ""P. S. I Love You,"" at EMI studios in London. The recording contract was offered by producer George Martin. Drummer Ringo Starr joined John, Paul and George for his first recording session as a Beatles, replacing Pete Best. ""Love Me Do"" was the result and it took 17 takes to complete. Oct 5, The Beatles' first hit, ""Love Me Do,"" was first released in the United Kingdom. Oct 9, Uganda became an independent state within the Britain Commonwealth. [see Mar 1]Oct 18, Dr. James D. Watson of the United States and Dr. Francis Crick and Dr. Maurice Wilkins  of Britain, were named winners of the Nobel Prize for Medicine and Physiology for their work in determining the double-helix molecular structure of DNA. Oct, Max Perutz , Austrian-born molecular biologist, won the Nobel Prize in chemistry for his work in England on the structure of hemoglobin. Nov 24, The BBC TV series ""That Was the Week That Was"" began and ran through 36 episodes to 1963. Willie Rushton impersonated PM Harold McMillan. Nov 26, The Beatles made their 1st recording session under the ""Beatles"" name. Nov 29, Great Britain and France agreed on a joint venture to build the super sonic Concorde jet. Dec 7, Great Britain performed a nuclear test at the Nevada Test Site. Dec 10, ""Lawrence of Arabia,"" David Lean's epic film starring Peter O'Toole as British officer T. E. Lawrence, had its royal gala premiere in London.""The War Requiem"" by Benjamin Britten premiered at the reconsecration of the bombed-out Coventry Cathedral. It juxtaposed sections from the Mass for the Dead with verse by WW I poet Wilfred Owen. Sir Michael Tippett, British composer, premiered his 2nd opera ""King Priam.""In Britain the Federation of Student Islamic Societies  was formed. In Britain John Vassal , an Admiralty clerk, was arrested for spying. He had been blackmailed into spying as an attaché in Moscow in 1955 with sex  photographs with 2-3 men. The scandal helped to end the career of Prime Minister Harold Macmillan. Denys Fisher, an English inventor, made a tool to help draw waves for scientific use, but it was not adopted. His family thought it would a good toy for children and in 1965 it was made into a kit and showed at an int’l. toy show. Kenner bought the toy and sold it as the Spirograph."
"1962","Jan, In Paris a series of bombings began and continued thru February by hardline soldiers opposed to Algeria’s independence, the Organization of the Secret Army .Feb 5, French President Charles De Gaulle called for Algeria's independence. Feb 5, Jacques Ibert , French composer , died. Mar 18, France and Algerian rebels agreed to a truce, which took effect the next day. Mar 19, Relative calm returned to Algeria after cease-fire, ending 7 years of warfare between French and Algerian Nationalists. May 23, OAS leader general Raoul Salan was sentenced to life in prison. French general Raoul Salan led a failed army revolt in Algeria  and then fled abroad, continuing to direct increasing terrorist Secret Army Organization  attacks on the French and Algerian governments, turning the Algerian War of Independence into a three-way war in Algeria and a right-wing guerrilla insurrection in France. Mar 25, French OAS-leader ex-general Jouhaud was arrested. Apr, Jean-Claude Forest  created the 41st century Barbarella sci-fi comic character for V Magazine. It was censored in France and barred from advertising or sale to minors until the early 1970s. Jun 6, Yves Klein , French artist, died of a heart attack. Jul 1, Some 6 million of a total Algerian electorate of 6.5 million cast their ballots in the referendum on independence. The vote was nearly unanimous. De Gaulle pronounced Algeria an independent country on July 3. The Provisional Executive, however, proclaimed July 5, the 132nd anniversary of the French entry into Algeria, as the day of national independence. Jul 14, Borehole for Mont Blanc-tunnel, between France and Italy, was finished. [see Aug 14]Aug 14, French and Italian workers broke through at the Mount Blanc Vehicular Tunnel. [see Jul 14]Aug 22, There was a failed assassination on president De Gaulle. Nov 29, Great Britain and France agreed on a joint venture to build the super sonic Concorde jet. Eugen Ionesco, French absurdist playwright, wrote his play “Exit the King.”The film ""The Iron Mask"" starred Germaine Montero and was directed by Henri Decoin. The film ""The Seven Deadly Sins""  starred Jean-Pierre Aumont. It was directed by Roger Vadim. The film ""Un Singe en Hiver""  starred Jean Gabin and Jean-Paul Belmondo. It was directed by Henri Verneuil . Algeria achieved Independence from France. De Gaulle evacuated Algeria and a million settlers flooded into France. A museum was added to the Chateau Mouton Rothschild. It housed a priceless collection of artwork related to wine. In France Paul Louis Halley  opened his first supermarket under the Promodes name. Following major acquisitions in 1988, 1996 and 1997 Promodes merged with rival Carrefour  and took its name.{France, Retail}"
"1962","May 31, Adolph Eichmann , Gestapo official and Nazi war criminal, was hanged near Tel Aviv, Israel, for his role in the Nazi murder of over one million Jews. He had been nabbed in Argentina by Peter Malkin in 1960 and taken to Israel for trial. This was the first execution to take place in the state Israel. Eichmann completed 1,300 notebook pages while in prison and they were OK'd for publication in 1999. In 1963 Hannah Arendt authored ""Eichmann in Jerusalem: A Report on the Banality of Evil."" May 31, Adolph Eichmann , Gestapo official and Nazi war criminal, was hanged near Tel Aviv, Israel, for his role in the Nazi murder of over one million Jews. He had been nabbed in Argentina by Peter Malkin in 1960 and taken to Israel for trial. This was the first execution to take place in the state Israel. Eichmann completed 1,300 notebook pages while in prison and they were OK'd for publication in 1999. In 1963 Hannah Arendt authored ""Eichmann in Jerusalem: A Report on the Banality of Evil."" "
"1962","The Japanese film “Harakiri"" starred Tatsuya Nakadai and was directed by Masaki Kobayashi. The film ""Sanjuro""  starred Toshiro Mifune. It was directed by Akira Kurosawa. Ryoichi Sasakawa , billionaire boat racing tycoon, founded a foundation to support Japanese nationalistic projects. It came to be called the Nippon Foundation. c1962Macaque monkeys began bathing in the hot springs near Nagano. Oceanographers sailed to view the predicted eruption of Myojin, an undersea volcano south of Japan. It blew beneath them and nobody survived."
"1963","Jan 14, President of France Charles de Gaulle announced the French veto on Britain's application to join the European Common Market, the forerunner of the European Union. De Gaulle said the British government lacked 'commitment' to European integration. Jan 22, Gen. Charles de Gaulle and German Chancellor Konrad Adenauer signed the Franco-German ""reconciliation treaty."" Mar 1, 200,000 French mine workers went on strike. Mar 4, Six people got the death sentence in Paris plotting to kill de Gaulle. Mar 19, Algeria demanded that France negotiate on ending nuclear testing in Algerian Sahara. Jun 21, France announced it would withdraw from the NATO fleet in the North Atlantic. Jul 12, Charles de Gaulle pronounced that ""Treaties are like roses and young girls -- they last while they last.""Aug 31, George F. Braque , cubist painter, died in Paris. Oct 11, Jean Cocteau, French author , surrealist poet, artist and film director, died at 73. His lover Lean Marais later published a biography of Cocteau called ""L’Inconcevable Jean Cocteau."" In 2003 Claude Arnaud authored the biography ""Jean Cocteau.""Oct 11, Edith Piaf , French singer , died of cancer. In 2007 the biopic film “La Vie en Rose,” with Marion Cotillard as Piaf, was produced. In 2011 Carolyn Burke authored “No Regrets: The Life of Edith Piaf.”The Singing Nun made a hit with ""Dominique."" The song praised the 13th century crusade against the Cathars. The film ""Songs in the Basement"" starred Germaine Montero and was directed by Henri Verneuil. France erected giant concrete buildings to house a growing working class and North African immigrants. These included the “Cite des 4,000” in the Paris suburb of La Courneuve. French residents of Monaco became liable for French taxes. French retailer Carrefour SA invented hypermarkets, huge emporiums that combined the wares of supermarkets and department stores. A glorified food blender was a product of the French restaurant supply giant Robot-Coupe. In 1973 Carl Sontheimer  introduced his redesigned Cuisinart at a show in Chicago. Chrysler became the majority holder of Simca. By 1970 it changed the name to Chrysler France. The paleolithic site of Lascaux, by the village of Montignac, France, was closed to the public by Andre Malraux, minister of cultural affairs, due to environmental damage caused by large numbers of tourists."
"1963","Jan 14, President of France Charles de Gaulle announced the French veto on Britain's application to join the European Common Market, the forerunner of the European Union. De Gaulle said the British government lacked 'commitment' to European integration. Jan, British investigative reporter Peter Earle  uncovered the call-girl ring run by osteopath Stephen Ward. The investigation snowballed into the Profumo scandal that revealed Minister of War, John Profumo, involved in an affair with Christine Keeler, who was conducting a simultaneous affair with a Soviet military attaché. The scandal brought down the government of PM Harold Macmillan. The events were dramatized in the film ""Scandal.""Feb 11, Sylvia Plath , American writer, committed suicide by gas in London after Ted Hughes left her for another woman. Her autobiographical novel ""The Bell Jar"" was published this year. She had been married to English poet Ted Hughes , who in 1998 published a 198 page book of verse ""Birthday Letters"" based on their relationship. The woman for whom Hughes left Plath committed suicide 5 years later. Plath’s 1981 ""Collected Poems"" won a Pulitzer Prize. The Plath book of poems ""Ariel"" was published after her death. In 2000 her uncensored diaries: ""The Unabridged Journals of Sylvia Plath,"" were edited by Karen V. Kukil. In 2013 Carl Rollyson authored “American Isis: The Life and Art of Sylvia Plath.”Mar 12, US House granted former British Prime Minister Winston Churchill honorary U. S. citizenship. Mar 16, William Beveridge , British economist and social reformer, died. He is perhaps best known for his 1942 report Social Insurance and Allied Services  which served as the basis for the post-World War II Welfare State put in place by the Labour government. Mar 22, British Minister of War John Profumo denied having sex with Christine Keeler. The Profumo call girl scandal almost toppled the government. Profumo, a leading British Conservative and minister for war, was discovered to have been involved with Keeler, a call girl who was also dealing with a Soviet attaché. Valerie Hobson , his actress wife, stood by him after the scandal. A 1995 Masterpiece Theater TV play was based on these events. Apr 8, Julian Lennon, John Lennon’s son, singer , was born. Jun 5, John Profumo , British Minister of War, resigned due his relations with Christine Keeler. [see Mar 22]Jun 9, JFK named Winston Churchill a US honorary citizen. Jun 17, British House of Commons debated the John Profumo-Christine Keeler affair, which involved the defense minister and the call-girl he shared with a Russian agent. Jun 17, John Cowper Powys , English author, died. In 2007 Morine Krissdottir authored “Descent of Memory: The Life of John Cowper Powys.” His 10 novels included “Wolf Solent,” the story of a young man’s rebellion against the modern world. Jun 24, 1st demonstration of home video recorder was at the BBC Studios in London. Jun 24, Zanzibar was granted internal self-government by Britain. Jul 25, The United States, the Soviet Union and Britain initialed a treaty in Moscow prohibiting the testing of nuclear weapons in the atmosphere, in space or underwater. Jul 30, British spy Kim Philby was discovered in Moscow. Philby, writer for The Economist, who spent six years filing dispatches from the Middle East, was discovered to be a spy and defected to the Soviet Union. Jul, Serial killers Myra Hindley  and her boyfriend, Ian Brady , began abducting, molesting and killing children. The pair were caught in Oct, 1965. Between 1963 and 1965 they lured five children and teenagers to their deaths, burying four of them on remote moorland near Manchester. Aug 3, Beatles made a final performance the Cavern Club in Liverpool. Aug 5, The United States, Britain and the Soviet Union signed a treaty in Moscow banning nuclear tests in the atmosphere, space and underwater. Aug 8, Britain's ""Great Train Robbery"" took place as thieves made off with 120 mailbags with 2.62 million pounds in banknotes. 15 men under Bruce Reynolds  held up the Glasgow to London Royal Mail  and took off with $7.2 mil in sterling. They badly beat up train driver Jack Mills. He never returned to work and died seven years later without making a full recovery. Ronald Biggs claimed to be one of the 15 men and later lived freely in Rio de Janeiro, Brazil. His share of the robbery was $2.8 mil but he was arrested just four weeks after the robbery. He escaped from Wandsworth Prison in 1965 and was still wanted in Britain. Only 1/8 of the money stolen was ever recovered. Dinner at home with Mr. Biggs could be purchased for $50. In 1994 Biggs published an autobiography. In 1999 a video game was developed based on the event. Biggs  returned to Britain in 2001 and in 2009 he was up for parole. Reynolds spent five years as a fugitive. On his return to Britain he was caught by police and sentenced 25 years in prison for the train heist, of which he served just 10. Reynolds published a memoir titled ""Autobiography of a Thief"" and became a consultant on a crime film. Aug 23, Beatles released ""She Loves You"" in UK. Aug 30, Guy Burgess , British spy for the USSR, died. Sep 7, The Beatles made their 1st US TV appearance on ABC’s Big Night Out. Oct 7, President Kennedy signed the documents of ratification for a nuclear test ban treaty with Britain and the Soviet Union. Oct 9, British premier Harold MacMillan resigned. Oct 19, Beatles recorded ""I Want to Hold Your Hand.""Oct 20, Alec Douglas-Home formed a British government. Nov 22, Aldous L. Huxley , English author , died in Los Angeles. Nov 22, C. S. Lewis, English author the Narnia series and other books, died of osteoporosis. In 2005 Alan Jacobs authored “The Narnian,” a biography of Lewis. In 2013 Alister McGrath authored “C. S. Lewis--A Life: Eccentric Genius, Reluctant Prophet.”Dec 12, Kenya gained independence from Britain and the Kenyan African National Union Party  began ruling. Jomo Kenyatta, a Kikuyu, was the first president and served until 1978. The Kikuyu and closely related Meru and Embu groups comprised some 28% of Kenya’s people. Kenya’s population at this time was under 8 million. This was later commemorated as Jamhuri Day. Sir Lawrence van der Post  wrote ""The Seed and the Sower."" It was filmed in 1983 as Merry Christmas Mr. Lawrence with David Bowie. Nora Beloff , British political writer and foreign correspondent, wrote ""The General Says No: Britain’s Exclusion from Europe.""The English satirical musical “Oh, What a Lovely War!” was directed by Joan Littlewood  and based on Alan Clark’s “The Donkeys” , a scathing examination of British First World War generals. Yehudi Menuhin founded the Yehudi Menuhin School at Stoke d'Abernon, in Surrey, England, combining musical and scholastic training to gifted students. Sir Andrew Huxley , British neurophysiologist shared a Nobel Prize in Physiology or Medicine with Alan Hodgkin and John Eccles. John R. Hopkins won a British Screenwriter’s Guild Award for the TV police show ""Z Cars.""The British light cruiser HMS Belfast saw active service until 1963. The cruiser saw distinguished service in World War II and Korea and now serves as a floating museum on the River Thames in London. Belfast is, in fact, the last survivor of the Royal Navy’s all-gun cruisers. Although she still, by special privilege, flies the White Ensign and has the right to the designation Her Majesty’s Ship, she is now a permanent floating museum, a branch of the world-famous Imperial War Museum. She was the first warship to be preserved by Great Britain since Lord Nelson’s HMS Victory. Britain relaxed laws on betting. Gambling as a result moved off tracks to betting shops. By 2006 attendance at dog races fell to some 3.6 million from a high of 38 million in 1936.David Low , British political cartoonist, died. Kenya gained independence from Britain and the Kenyan African National Union Party began ruling."
"1963","Jan 22, Gen. Charles de Gaulle and German Chancellor Konrad Adenauer signed the Franco-German ""reconciliation treaty."" Jan 17, Soviet leader Khrushchev visited the Berlin Wall. [see Feb 17]Feb 17, Soviet leader Khrushchev visited the Berlin Wall. [see Jan 17]Feb 20, Rolf Hochhuth's ""Der Stellvertreter""  premiered in Berlin. The work indicted Pope Pius XII for Nazi complicity during WW II. The Catholic Church was outraged at the portrayal of Pius XII as a war criminal. An English translation by Richard and Clara Winston was published as “The Deputy: A Play,” by Grove Press in 1964. In 2002 The Deputy was made into the film “Amen.” by Costa Gavras. Jun 26, President Kennedy visited West Berlin, where he made his famous declaration: ""Ich bin ein Berliner""  at the Berlin Wall. Rumors later spread that the misplaced article ""ein"" made an exact translation to say ""I am a jelly donut.""Jun 28, Khrushchev visited East-Berlin. Jun 29, Anne-Sophie Mutter, violinist , was born in Rheinfeldin, Germany. Oct 2, W. German Chancellor Adenauer condemned western grain shipments to USSR. Dec 20, The Berlin Wall was opened for the first time to West Berliners, who were allowed one-day visits to relatives in the Eastern sector for the holidays. Four thousand crossed the great wall of Berlin to visit relatives under a 17 day Christmas accord. Dec 20, The trial of 21 camp guards from Auschwitz began. Dec 28, Paul Hindemith , German composer  and violist, died. His work included ""Cardillac.""Playwright Rolf Hochhuth produced ""The Deputy."" The work indicted Pope Pius XII for Nazi complicity during WW II. The German film ""Delay in Marienborn"" was directed by Will Tremper. Ludwig Erhard, head of the Christian Democratic Union, replaced Konrad Adenauer as Chancellor and served to 1966."
"1963","May 8, JFK offered Israel assistance against aggression. Jun 15, Israeli premier David Ben-Gurion resigned. Jun 21, Levi Eshkol began serving as Israel’s 3rd prime minister. Oct 12, Archaeological digs began at Masada, Israel. Emma Berger, a German Christian, founded a sect of fervent believers in Germany in the 1950s and led a portion of them to Israel in 1963, where they founded a commune called Bethel-El. South Africa conducted a joint nuclear test with Israel, but the Israelis did not confirm the report. May 8, JFK offered Israel assistance against aggression. Jun 15, Israeli premier David Ben-Gurion resigned. Jun 21, Levi Eshkol began serving as Israel’s 3rd prime minister. Oct 12, Archaeological digs began at Masada, Israel. Emma Berger, a German Christian, founded a sect of fervent believers in Germany in the 1950s and led a portion of them to Israel in 1963, where they founded a commune called Bethel-El. South Africa conducted a joint nuclear test with Israel, but the Israelis did not confirm the report."
"1963","Nov 9, Twin disasters struck Japan as some 450 miners were killed in a coal-dust explosion, and 160 people died in a train crash. Japanese artist Yayoi Kusama  led in the creation of installation art with her show: “Aggregation: One thousands Boats Show,"" at the Gertrude Stein gallery in NYC. It featured a rowing boat filled with phallic sculptures installed in a room papered with 999 black-and-white photographic reproductions of the work. The film ""High and Low""  starred Toshiro Mifune as a factory owner standing up to his son's kidnapper. It was directed by Akira Kurosawa. Akio Morita, co-founder of Sony Corp., moved his family to NYC to learn American ways."
"1963","The Beatles release their first records, taking Britain and then the world by storm. Britain, the United States and Russia sign a nuclear test ban treaty. France detonates its first atomic bomb. France vetoes British membership of the EEC. The British government is shaken by the Profumo scandal. "
"1963-1994","King Hussein of Jordan  held at least 55 secret meetings with leading Israelis including at least seven prime and foreign ministers. King Hussein of Jordan  held at least 55 secret meetings with leading Israelis including at least seven prime and foreign ministers."
"1964","Apr 5, Army Gen. Douglas MacArthur  died in Washington, D. C. In 1978 William Manchester authored: ""American Caesar: Douglas MacArthur."" In 2006 Robert Harvey authored “American Shogun: A Tale of Two Cultures,"" which includes a biography of Japan’s Emp. Hirohito in parallel with MacArthur.   Oct 1, Japan’s Shinkansen Bullet Train began operation between Tokyo and Osaka. Oct 10, The XVIII Olympiad opened in Tokyo, Japan. The summer Olympics closing ceremonies were held on Oct 24.Kenzabuto Oe, Japanese novelist, published his novel ""A Personal Matter."" He won the Nobel Prize in literature in 1994.Bob Hayes ,  sprinter, won gold medals at the Tokyo Olympics in the 100 meters and 4x100 relay. Eisaku Sato of the LDP became prime minister of Japan. He served to 1972.Koji Kobayashi  began serving as the president of NEC. In 1976 he became the chairman until 1988. He pushed for separation from the Sumitomo Bank and supported the United Nations Univ., based in Tokyo. He was also a member of the Club of Rome, and int'l. group of businessmen and academics who discussed limits to the Earth's Resources."
"1964","Feb 6, Paris and London agreed to build a rail tunnel under the English Channel.  Feb 7, The British band The Beatles began their first American tour as they arrived at New York's John F. Kennedy International Airport, where they were greeted by 25,000 screaming fans. Feb 8, Peter Shaffer's ""Royal Hunt of the Sun,"" premiered in London. Feb 23, The U. S. and Britain recognized the new Zanzibar government. Mar 28, First pirate radio station began to broadcast off the coast of England. Radio Caroline debuted with a combination of rock music and lively disk jockey whose patter played to a huge audience in Great Britain. British authorities, tried unsuccessfully, to shut down the radio station ship. Radio Caroline had become competition to the staid and usually dull British Broadcasting Corporation . [see Dec 23]cApr 5, 1st driverless trains ran on the London Underground. May 6, Joe Orton's ""Entertaining Mr. Sloan,"" premiered in London. Jun 9, W. Maxwell Aitken , Lord Beaverbrook, English Minister of Info, died. Jul 6, Beatles' film ""Hard Day's Night"" premiered in London. Jul 6, Malawi, the former British protectorate and part of the Federation of Rhodesia and Nyasaland gained independence. Jul 11, Queen Elizabeth ordered Beatles to her birthday party and they attended. Aug 12, Ian L. Fleming , British spy, journalist, writer , died. He had recently sold a 51% share of the copyright of his books to Sir Jock Campbell, who chaired the Booker Brothers. In 2000 Fleming’s heirs bought back the copyright to the books. Sep 9, John Osborne's ""Inadmissible Evidence,"" premiered in London. Sep 21, Malta became an independent member of the British Commonwealth. Oct 16, Harold Wilson  of the Labor Party assumed office as prime minister, succeeding Conservative Sir Alec Douglas-Home. Wilson’s Labor government took over from Harold MacMillan’s Conservatives. Nov 25, Eleven nations gave a total of $3 billion to rescue the value of the British currency. Dec 9, Dame Edith Sitwell , English poet, died. ""Good taste is the worst vice ever invented."" A book of her collected poems was published in 2006. In 2011 Richard Greene authored “Edith Sitwell: Avant Garde Poet, English Genius.”Dec 21, Britain’s House of Commons voted to ban the death penalty. Parliament voted to abolish the death penalty. The vote was in part due to the country’s unease over the 1953 Bentley hangingDec 23, Rock 'n' Roll Radio- in the guise of Pirate Radio- came to England where one had to listen to the BBC or nothing at all. Pirate Radio was a gallant effort to broadcast commercial radio, which was illegal in Great Britain at that time. The British duo Peter and Gordon made a hit with the song “A World Without Love,” written by Paul McCartney. The group broke up in 1968 after 9 top 20 records. Gordon Waller died in 1964 at age 64.The BBC showed its 26-part epic of WWI: “The Great War.”The British TV series ""Till Death Do Us Part,"" written by Johnny Speight , began. It was copied in the US for the 1971 ""All in the Family"" that began in 1971 on CBS TV and ran to 1983 and later became ""Archie Bunker’s Place."" Bunker was the first video-taped sitcom. London’s Caribbean-flavored Notting Hill Carnival was founded following the disturbances in Notting Hill six years earlier that saw clashes between whites and newly arrived immigrants from the West Indies. Zambia established Independence from Britain. Pres. Kenneth Kaunda was in charge."
"1964","Feb 6, Paris and London agreed to build a rail tunnel under the English Channel. Jun 15, The last French troops left Algeria. Jul 1, Pierre Monteux , French-US conductor , died. Sep 16-1964 Oct 20, French Pres. Charles de Gaulle visited South America with stops in Venezuela, Colombia, Ecuador, Peru, Bolivia, Chile, Argentina, Paraguay, Uruguay and Brasil. He was the 1st head of state from outside Latin America to visit Paraguay. Eleanor Clark authored “The Oysters of Locmariaquer,” a history of French oysters and oystermen. Jean Fautrier , French modernist, died. He was considered a precursor to the American Abstract Expressionists."
"1964","Jan 17, The PLO charter was put together with articles that proclaimed Israel an illegal state and pledged ""the elimination of Zionism in Palestine."" The PLO was founded in Egypt. Dec 31, Syrian-based al-Fatah guerrillas of Yasser Arafat launched their 1st raid on Israel with the aim of provoking a retaliation and sparking an Arab war against Israel. Fatah, a Palestinian movement for independence, made the first terror attack on Israel and initiated the armed struggle for a state. The Sergei Courtyard in Jerusalem, part of a compound that had belonged to Moscow patriarchy, was sold for a load of oranges. Israel transferred it back to Russia in 2008.Jan 17, The PLO charter was put together with articles that proclaimed Israel an illegal state and pledged ""the elimination of Zionism in Palestine."" The PLO was founded in Egypt. Dec 31, Syrian-based al-Fatah guerrillas of Yasser Arafat launched their 1st raid on Israel with the aim of provoking a retaliation and sparking an Arab war against Israel. Fatah, a Palestinian movement for independence, made the first terror attack on Israel and initiated the armed struggle for a state. The Sergei Courtyard in Jerusalem, part of a compound that had belonged to Moscow patriarchy, was sold for a load of oranges. Israel transferred it back to Russia in 2008."
"1964","Jan 28, The Soviets downed a U. S. jet over East Germany killing three. Apr 20, August Sander , German photographer, died. He attempted to make a complete portrait survey of 20th century German society. His “Face of Our Time,” a volume of 60 photographs, was published in 1929.Oct 3-4, East Berliners dug a 470-foot tunnel, Tunnel 57, to the West and 57 people escaped. Oct 5, Egon Shultz, an East German border soldier, was shot to death at the site of the escape tunnel. A 1994 report said he was inadvertently killed by another border soldier. Oct 6, Richard Scheibe, German sculptor , died at 85.The one millionth guest worker arrived in Germany."
"1964-1970","Harold Wilson was the prime minister of Britain."
"1964-1977","Secret germ warfare was conducted during this time over London and southern England. Scientists released three types of bacteria: bacillus globigii, killed serratia marcescens, and E. Coli 162. Officials claimed that the bacteria was rendered harmless."
